1	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00844	HK; hexokinase [EC:2.7.1.1]
2	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K12407	GCK; glucokinase [EC:2.7.1.2]
3	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00845	glk; glucokinase [EC:2.7.1.2]
4	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01810	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]
5	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K06859	pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]
6	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K13810	tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
7	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K15916	pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
8	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K24182	PFK9; 6-phosphofructokinase [EC:2.7.1.11]
9	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00850	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]
10	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K16370	pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
11	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K21071	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]
12	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00918	pfkC; AP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
13	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00895	pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
14	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]
15	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K02446	glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]
16	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K11532	glpX-SEBP; fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]
17	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01086	fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]
18	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K04041	fbp3; fructose-1,6-bisphosphatase III [EC:3.1.3.11]
19	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01623	ALO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
20	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K11645	fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
21	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01624	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
22	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01622	K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]
23	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K16305	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]
24	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K16306	K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy--threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]
25	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01803	TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]
26	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00134	GAPH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
27	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K10705	GAPHS; glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [EC:1.2.1.12]
28	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00150	gap2; glyceraldehyde-3-phosphate dehydrogenase (NA(P)) [EC:1.2.1.59]
29	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00927	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
30	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01834	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
31	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K15634	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
32	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K15633	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
33	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K15635	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
34	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01689	ENO, eno; enolase [EC:4.2.1.11]
35	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00873	PK, pyk; pyruvate kinase [EC:2.7.1.40]
36	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K12406	PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]
37	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01006	ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]
38	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K01007	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]
39	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]
40	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00161	PHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
41	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00162	PHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
42	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00627	LAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]
43	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	K00382	L, lpd, pdh; dihydrolipoamide dehydrogenase [EC:1.8.1.4]
